英文名称 	中文名称 	类型 	说明
F071N	一般法人配售户数	DECIMAL	单位：户；
F086N	证券基金申购数量	DECIMAL	单位：万股
F072N	证券基金配售数量	DECIMAL	单位：万股
F073N	证券基金配售户数	DECIMAL	单位：户
F087N	战略投资者申购数量	DECIMAL	单位：万股
F074N	战略投资者配售数量	DECIMAL	单位：万股
F075N	战略投资者配售户数	DECIMAL	单位：户
F076D	上市公告日期	DATE	
F077D	增发股上市日	DATE	
F078D	资金到帐日	DATE	
F090N	预计发行股数	DECIMAL	单位：万股 预计发行股数
F091N	网上预设发行数量比例	DECIMAL	单位：% 网上预设发行数量比例
F092N	网下预设发行数量比例	DECIMAL	单位：% 网下预设发行数量比例
F093D	网上路演起始日	DATE	网上路演起始日
F094V	招股意向书网址	VARCHAR	招股意向书网址
F095D	原股东优先申购日	DATE	原股东优先申购日
F096N	原股东最多认购数占发行数比例	DECIMAL	单位：% 原股东最多认购数占发行数比例
F097N	网下申购数量下限	DECIMAL	单位：股 网下申购数量下限
F099N	网下申购定金	DECIMAL	单位：% 网下申购定金
F100N	A 类投资者网下申购中签比例	DECIMAL	A 类投资者网下申购中签比例
F101N	B 类投资者网下申购中签比例	DECIMAL	B 类投资者网下申购中签比例
F102N	A类投资者网下申购单位	DECIMAL	单位：万股 网下申购单位
F118N	B类投资者网下申购单位	DECIMAL	单位：万股，20080101新增
F103N	网下申购数量上限	DECIMAL	单位：万股 网下申购数量上限
F104N	A类投资者认购下限	DECIMAL	单位：万股 A类投资者认购下限
F105N	B类投资者认购下限	DECIMAL	单位：万股 B类投资者认购下限
F106N	A类锁定期	DECIMAL	单位：月 A类锁定期
F108D	网下资金退缴日	DATE	网下资金退缴日
F109N	网上申购数量下限	DECIMAL	单位：股 网上申购数量下限
F110N	网上申购单位	DECIMAL	单位：股 网上申购单位
F111D	网上资金退款日	DATE	网上资金退款日
F112D	网上中签结果公告日	DATE	网上中签结果公告日
F113N	本次上市的无流通限制及锁定安排的股份	DECIMAL	单位：万股 本次上市的无流通限制及锁定安排的股份
F114N	发行后每股收益	DECIMAL	单位：元 发行后每股收益
F116D	停牌截止日期	DATE	20080101新增
F117D	停牌起始日期	DATE	20080101新增
F119D	网下中签率公布及退款日	DATE	20080101新增
F122D	网下申购定金到帐日	DATE	201202新增
SUBID	记录标识	bigint	对应增发预案表中的SEQID
