英文名称 	中文名称 	类型 	说明
F049N	保守速动比率	DECIMAL(10,3)	货币资金+交易性金融资产+应收票据+应收帐款+其他应收款)/流动负债，酸性比率
F050N	现金到期债务比率	DECIMAL(15,3)	经营活动现金净流量*100/本期到期的债务=经营活动现金净流量*100/（一年内到期的非流动负债＋应付票据）
F051N	有形资产净值债务率	DECIMAL(10,3)	流动负债/(股东权益-无形资产)
F052N	营业收入增长率	DECIMAL(10,3)	(本期营业收入/上期营业收入-1)*100
F053N	净利润增长率	DECIMAL(15,3)	(本期净利润/上期净利润-1)*100
F054N	净资产增长率	DECIMAL(10,3)	(期末股东权益/期初股东权益-1)*100
F055N	固定资产增长率	DECIMAL(10,3)	(期末固定资产/期初固定资产-1)*100
F056N	总资产增长率	DECIMAL(10,3)	(期末资产总额/期初资产总额-1)*100
F057N	投资收益增长率	DECIMAL(15,3)	(本期投资收益/上期投资收益-1)*100
F058N	营业利润增长率	DECIMAL(10,3)	(本期营业利润/上年同期营业利润-1)*100
F059N	每股现金流量	DECIMAL(10,3)	现金流量净额/股本
F060N	每股经营现金流量	DECIMAL(10,3)	经营现金净流量/股本
F061N	经营净现金比率（短期债务）	DECIMAL(10,3)	经营现金净流量*100/流动负债
F062N	经营净现金比率（全部债务）	DECIMAL(10,3)	经营现金净流量*100/负债总额
F063N	经营活动现金净流量与净利润比率	DECIMAL(10,3)	经营活动现金净流量*100/净利润
F064N	营业收入现金含量	DECIMAL(10,3)	经营活动现金流入量*100/营业收入
F065N	全部资产现金回收率	DECIMAL(10,3)	经营活动现金流量净额*100 /资产总额
F066N	净资产收益率(扣除非经常性损益)	DECIMAL(12,4)	单位：%
F067N	净资产收益率-加权	DECIMAL(12,4)	单位：%
F068N	净资产收益率-加权(扣除非经常性损益)	DECIMAL(12,4)	单位：%
F069D	报告年度	DATE	
F070V	合并类型编码	VARCHAR	
F071V	合并类型	VARCHAR	
F076N	扣除非经常性损益后的净利润	DECIMAL(18,2)	单位：元
F077N	非经常性损益合计	DECIMAL(18,2)	单位：元
F078N	毛利率	DECIMAL(18,2)	毛利率=(年末总营业务收入-年末总营业务成本)/年末总营业务收入*100%
F079N	期间费用率	DECIMAL(18,2)	期间费用率=(年末期间费用/年末营业收入)*100%
F080N	现金转换周期	DECIMAL(18,2)	现金转换周期=存货转换期间+应收账款转换期间
F081N	净资产收益率	DECIMAL(18,2)	净资产收益率=年末净利润/年平均净资产
F082N	净利含金量	DECIMAL(18,2)	净利含金量=经营现金净流量/净利润
F083N	非经常性损益占比	DECIMAL(18,2)	非经常性损益占比 =非经常性损益/净利润=(资产减值损失+公允价值变动净收益+投资收益+汇兑收益+补贴收入+营业外收入+营业外支出)/净收益
F084N	期间费用增长率	DECIMAL(18,2)	期间费用增长率=((年末期间费用-上年末期间费用)/上年末期间费用)*100%
F085N	基本获利能力	DECIMAL(18,2)	基本获利能力=年化总资产息税前经常性收益率(EBIT) EBIT=净利润+所得税+利息
F086N	应收账款占比	DECIMAL(18,2)	应收账款占比=应收账款/总资产
F087N	存货占比	DECIMAL(18,2)	存货占比=存货/总资产
F088N	年化期间费用毛利比	DECIMAL(18,2)	年化期间费用毛利比=期间费用/毛利
F089N	营业收入	numeric(18,2)	
F090N	营业成本	numeric(18,2)	
F091N	销售费用	numeric(18,2)	
F092N	管理费用	numeric(18,2)	
F093N	财务费用	numeric(18,2)	
F094N	三费合计	numeric(18,2)	
F095N	公允价值变动净收益	numeric(18,2)	
F096N	投资收益	numeric(18,2)	
F097N	营业利润	numeric(18,2)	
F098N	补贴收入	numeric(18,2)	
F099N	营业外收支净额	numeric(18,2)	
F100N	利润总额	numeric(18,2)	
F101N	净利润	numeric(18,2)	
F102N	归属于母公司所有者的净利润	numeric(18,2)	
F103N	扣除非经常性损益后的净利润(2007版)	numeric(18,2)	
F104N	非经常性损益合计(2007版)	numeric(18,2)	
F105N	经营活动现金流量净额	numeric(18,2)	
F106N	投资活动现金流量净额	numeric(18,2)	
F107N	筹资活动现金流量净额	numeric(18,2)	
F108N	现金及现金等价物净增加额	numeric(18,2)	
F109N	货币资金	numeric(18,2)	
F110N	交易性金融资产	numeric(18,2)	
F111N	应收账款	numeric(18,2)	
F112N	存货	numeric(18,2)	
F113N	流动资产合计	numeric(18,2)	
F114N	投资性房地产	numeric(18,2)	
F115N	商誉	numeric(18,2)	
F116N	固定资产	numeric(18,2)	
F117N	非流动资产合计	numeric(18,2)	
F118N	资产总计	numeric(18,2)	
F119N	流动负债合计	numeric(18,2)	
F120N	非流动负债合计	numeric(18,2)	
F121N	负债合计	numeric(18,2)	
F122N	股本	numeric(18,2)	
F123N	资本公积	numeric(18,2)	
F124N	盈余公积	numeric(18,2)	
F125N	库存股	numeric(18,2)	
F126N	未分配利润	numeric(18,2)	
F127N	少数股东权益	numeric(18,2)	
F128N	股东权益合计	numeric(18,2)	
F129N	归属于母公司所有者权益	numeric(18,2)
