英文名称 	中文名称 	类型 	说明
F050N	分配股利、利润或偿付利息支付的现金	DECIMAL(18,2)	
F051N	支付其他与筹资活动有关的现金	DECIMAL(18,2)	
F052N	筹资活动现金流出小计	DECIMAL(18,2)	
F053N	筹资活动产生的现金流量净额	DECIMAL(18,2)	
F054N	四、汇率变动对现金的影响	DECIMAL(18,2)	
F055N	四(2)、其他原因对现金的影响	DECIMAL(18,2)	
F056N	五、现金及现金等价物净增加额	DECIMAL(18,2)	
F057N	期初现金及现金等价物余额	DECIMAL(18,2)	
F058N	期末现金及现金等价物余额	DECIMAL(18,2)	
F071N	净利润	DECIMAL(18,2)	
F072N	加：资产减值准备	DECIMAL(18,2)	
F073N	固定资产折旧、油气资产折耗、生产性生物资产折旧	DECIMAL(18,2)	
F099N	投资性房地产的折旧及摊销	DECIMAL(18,2)	
F074N	无形资产摊销	DECIMAL(18,2)	
F075N	长期待摊费用摊销	DECIMAL(18,2)	
F076N	处置固定资产、无形资产和其他长期资产的损失	DECIMAL(18,2)	
F077N	固定资产报废损失	DECIMAL(18,2)	
F078N	公允价值变动损失	DECIMAL(18,2)	
F079N	财务费用	DECIMAL(18,2)	
F080N	投资损失	DECIMAL(18,2)	
F081N	递延所得税资产减少	DECIMAL(18,2)	
F082N	递延所得税负债增加	DECIMAL(18,2)	
F083N	存货的减少	DECIMAL(18,2)	
F084N	经营性应收项目的减少	DECIMAL(18,2)	
F085N	经营性应付项目的增加	DECIMAL(18,2)	
F086N	其他	DECIMAL(18,2)	
F087N	经营活动产生的现金流量净额2	DECIMAL(18,2)	
F089N	债务转为资本	DECIMAL(18,2)	
F090N	一年内到期的可转换公司债券	DECIMAL(18,2)	
F091N	融资租入固定资产	DECIMAL(18,2)	
F092N	3、现金及现金等价物净变动情况：	DECIMAL(18,2)	
F093N	现金的期末余额	DECIMAL(18,2)	
F094N	减：现金的期初余额	DECIMAL(18,2)	
F095N	加：现金等价物的期末余额	DECIMAL(18,2)	
F096N	减：现金等价物的期初余额	DECIMAL(18,2)	
F097N	加：其他原因对现金的影响2	DECIMAL(18,2)	
F098N	现金及现金等价物净增加额	DECIMAL(18,2)
